discord_tag,team,tier,week_1_score,week_2_score,week_3_score,week_4_score,week_5_score,week_8_score,week_9_score,week_10_score,week_11_score,week_12_score,week_13_score,week_14_score,week_15_score,week_16_score
Booth#9643,cct,None of the above,0,0,53,0,0,0,0,0,0,0,0,0,0,0
NPC#8058,cct,None of the above,0,0,48,0,0,0,0,0,0,0,0,0,0,0
HBBowsy64,CCT,None of the above,0,0,51,0,0,0,0,0,0,0,0,0,0,0
Nevino#2884,Koala Kings,Harmony Tier,0,0,60,0,0,0,0,0,0,0,0,0,0,0
Apathy#0019,CCT,Harmony Tier,0,0,54,0,0,0,0,0,0,0,0,0,0,0
MisterYeti#9471,CCT,None of the above,0,0,51,0,0,0,0,0,0,0,0,0,0,0
train#0902,Amnesia,Transcendence Tier,0,0,54,0,0,0,0,0,0,0,0,0,0,0
Kapitol#1113,Nostalgia Org,Transcendence Tier,0,0,52,0,0,0,0,0,0,0,0,0,0,0
DONGERLORD#6969,Mark III,Discord Tier,0,0,41,0,0,0,0,0,0,0,0,0,0,0
ProGamer360#3447,Decapitators Kinda,None of the above,0,0,46,0,0,0,0,0,0,0,0,0,0,0
McRice#2709,Mark III,Discord Tier,0,0,22,0,0,0,0,0,0,0,0,0,0,0
Jakeleon#4055,Platlaws,Transcendence Tier,0,0,43,0,0,0,0,0,0,0,0,0,0,0
smoke#4000,Flashbacks,Harmony Tier,0,0,49,0,0,0,0,0,0,0,0,0,0,0
ch0bee#3168,chrysalis,Harmony Tier,0,0,37,0,0,0,0,0,0,0,0,0,0,0
Kryy#1919,Amnesia,Transcendence Tier,0,0,54,0,0,0,0,0,0,0,0,0,0,0
T0X1C#5624,Echo Fleet,Discord Tier,0,0,55,0,0,0,0,0,0,0,0,0,0,0
bbnicky#6184,Vanguard Spartans,Harmony Tier,0,0,51,0,0,0,0,0,0,0,0,0,0,0
BubbaWyatt#1614,Sky Gaurdian,Harmony Tier,0,0,44,0,0,0,0,0,0,0,0,0,0,0
growloo#0007,council of anime girls,Transcendence Tier,0,0,29,0,0,0,0,0,0,0,0,0,0,0
Traffic#1539,Palm Beach Poggers,Harmony Tier,0,0,38,0,0,0,0,0,0,0,0,0,0,0
tri#2168,flashbacks,Harmony Tier,0,0,38,0,0,0,0,0,0,0,0,0,0,0
Vaal Nailo#5420,Vanguard Spartans,Harmony Tier,0,0,56,0,0,0,0,0,0,0,0,0,0,0
kobe#8666,Zeus,Transcendence Tier,0,0,36,0,0,0,0,0,0,0,0,0,0,0
CucumberedPickle#9962,Luminous Foxes,Harmony Tier,0,0,46,0,0,0,0,0,0,0,0,0,0,0
glitcch#1117,reminiscence,Discord Tier,0,0,46,0,0,0,0,0,0,0,0,0,0,0
BOOSTIO#8571,Chrysalis,Harmony Tier,0,0,30,0,0,0,0,0,0,0,0,0,0,0
Storm#1958,"Monarch, Chrysalis",Discord Tier,0,0,40,0,0,0,0,0,0,0,0,0,0,0
KalmarWingfeather#2873,,None of the above,0,0,45,0,0,0,0,0,0,0,0,0,0,0
dwengw50#5417,Ragnarok Odin,Transcendence Tier,0,0,58,0,0,0,0,0,0,0,0,0,0,0
